Item,link to colour photo,Material,Manuf,Function,Descriptor,Year,Method,Major,Transport
Wallet ,Black,Leather,United Kingdom,Hold money and debt/credit cards,useful,2020,bought,Industrial Deisgn ,walk
water bottle,"purple, silver, and teal",metal,China,store and drink water etc,functional,2020,bought,Graphic Design,walk
Airpods in case,blue and white,plastic,China,listen to audio via bluetooth,funtional,2020,gift with purchase,Graphic Design,walk
Air Pods,White,Plastic,China,To listen to music    ,functional,2021,bought,Graphic Design,Walk
2 2,Link,Paper,China,to write/sketch in,Calming,2021,bought,Life Studies,TTC
Pencil Case,Link (Uploading better image soon),,China,To hold pens and other supplies,functional ,2021,Bought,Graphic Design ,TTC
Bracelet,,Gold,Unknown,Decoration,Sentimental,2021,Gift,Digital Futures,Go Train
Watch,Silver,stainless steal,Swizerland ,to tell the user the time.,reliable ,2021,gift ,Industrial Design,walk
Bike Leg Band,Zefal leg band,velcro,France,to hold pant leg,functional,2021,taken,advertising,TTC
Nalgene water botle,Nalgene 32oz,plastic,US,to hold water,functional,2022,bought,advertising,TTC
Glasses,,Metal,Unknown,Health,functional,2022,bought,Digital Futures,Go Train
Water Bottle,Link [purple one],Metal,Unknown,to hold water,Useful,2022,bought,Life Studies,TTC
Crochet Heart,,Yarn,Jamaica,Decoration,Sentimental,2022,Gift,Digital Futures,Go Train
Cable,White,copper,China,To charge a phone,functional,2023,bought,Graphic Design,TTC
Puzzle book,link,paper,China,to pass time,Fun,2023,bought,Graphic Design,TTC
Jacket ,Black,Nylon,United States ,To keep you warm,Warm,2023,bought,Industrial Design,walk
North Face Gloves,Black,Polyester,China,To keep hands warm,Useful,2023,bought,Graphic Design,
water bottle,Link,Stainless Steel ,China,to hold water,functional ,2023,bought,Integrated Media,Go Train
Tennis Ball,,Felt,Unknown,Stress Relief,Fuzzy,2023,taken,Digital Futures,Go Train
Charger,Link,plastics,China,To transport electricity ,Function,2023,bought,Integrated Media,Go Train
Pouch,Yellow,polythene,China,to put items,cute,2024,bought,Graphic Design,TTC
Epi Pen,link,Plastic,Canada,for anaphylactic shock,Critical,2024,bought,Graphic Design,TTC
Card Holder,Brown,Cartoon,China,To hold Student ID    ,functional,2024,bought,Graphic Design,Walk
Pencil Case,Pencil Case,Plastic,China,to hold pencils and other supplies,organized,2024,bought,Illustration,walk
Water bottle,Waterbottle,stainless steel,China,to transport water and keep cold,strong,2024,bought,Illustration,walk
Sketchbook,Link,Paper,Italy,For Coursework,functional ,2024,Gift,Graphic Design,TTC
Print,Birthday,Paper,Canada,Decoration,Soulful,2024,Bought,Life Studies,TTC
Presto Card,Black,Plastic,Canada,to access transportation,Reliable,2025,bought,Graphic Design,GO Train
